date,open,high,low,close,volume
1562756400000,13073.5,13075.5,13044.5,13064.5,4.8952
1562760000000,13064.5,13064.5,12900.5,13029.0,684.5329
1562763600000,13029.0,13127.5,12996.5,13039.5,812.2584
1562767200000,13039.5,13065.5,12549.5,12549.5,679.704
1562770800000,12549.5,12552.0,12121.0,12362.0,715.655
1562774400000,12362.0,12368.0,12154.0,12276.5,777.4733
1562778000000,12276.5,12293.0,12099.5,12293.0,780.2608
1562781600000,12293.0,12326.5,12167.0,12206.5,797.1908
1562785200000,12206.5,12216.5,11931.5,12071.0,786.5277
1562788800000,12071.0,12106.5,11664.0,11794.0,783.908
1562792400000,11794.0,11981.0,11569.0,11970.0,788.8534
1562796000000,11970.0,12167.0,11864.0,12082.0,788.112
1562799600000,12082.0,12210.0,12029.0,12106.5,805.339
1562803200000,12106.5,12110.0,11783.5,11941.5,787.98
1562806800000,11941.5,12101.0,11841.0,11995.5,791.5114
1562810400000,11995.5,12045.5,11876.5,11970.5,806.9094
1562814000000,11970.5,12003.5,11622.5,11702.5,793.1558
1562817600000,11702.5,11733.0,11221.5,11369.0,772.506
1562821200000,11369.0,11456.5,11222.0,11440.0,794.7169
1562824800000,11440.0,11561.0,11375.5,11561.0,724.4316
1562828400000,11561.0,11611.0,11407.5,11585.0,790.8797
1562832000000,11585.0,11606.5,11359.0,11422.5,796.8792
1562835600000,11422.5,11525.5,11364.5,11456.5,792.935
1562839200000,11456.5,11502.5,11296.0,11427.5,800.141
1562842800000,11427.5,11623.0,11396.0,11600.0,804.3726
1562846400000,11600.0,11718.5,11550.0,11588.0,793.4322
1562850000000,11588.0,11665.5,11582.0,11611.5,618.1002
1562853600000,11611.5,11780.0,11605.5,11718.5,801.4333
1562857200000,11718.5,11775.5,11412.5,11489.5,796.8198
1562860800000,11489.5,11722.0,11379.0,11677.0,777.3394
1562864400000,11677.0,11748.0,11648.0,11669.5,808.7717
1562868000000,11669.5,11695.0,11570.0,11641.5,795.986
1562871600000,11641.5,11650.5,11496.0,11562.0,794.6771
1562875200000,11562.0,11620.0,10999.5,11147.5,774.836
1562878800000,11147.5,11337.0,11065.5,11289.0,782.6447
1562882400000,11289.0,11435.0,11253.5,11317.5,800.0358
